Gene (disease),ClinVar P/LP residues,ClinVar VUS residues,Reclassified pred>0.7,Truly novel positions,Notes
"OTOF (DFNB9, DB-OTO gene therapy)",106,295,16,0,gene therapy candidate map
USH2A (Usher 2A),658,1783,50,11,"syndromic, 2 ultra-novel"
CDH23 (USH1D),142,1216,43,7,"syndromic, 5 ultra-novel"
WFS1 (Wolfram),102,471,59,19,"syndromic, 7 ultra-novel"
LOXHD1 (DFNB77),113,423,22,1,1 ultra-novel
TECTA (DFNB21),42,446,14,3,3 ultra-novel
CHD7 (CHARGE),234,855,7,3,"syndromic, 1 ultra-novel"
ALMS1 (Alström),318,1954,8,0,syndromic
ADGRV1 (USH2C),162,1380,5,2,"syndromic, 1 ultra-novel"
USH1C (Usher 1C),30,242,2,0,syndromic
SLC4A11 (CHED2),46,115,1,0,-
OTOG (DFNB18B),49,375,0,0,-
TOTAL,2002,9555,227,46,20 ultra-novel (>5 aa from any P/LP)
